2026-06-08 19:58:26: -- Analysis Started by Periodic Timer
2026-06-08 19:58:26: L: Reading State File C:/Users/DavoodYa/Documents/WindowsPowerShell/_gsdata_/_file_state_v4._gs
2026-06-08 19:58:26: R: Reading State File H:/Repo/powershell-scripting/PowerShell-Profile-Backups/Use-GoodSync/_gsdata_/_file_state_v4._gs
2026-06-08 19:58:26: R: State file does not exist: H:/Repo/powershell-scripting/PowerShell-Profile-Backups/Use-GoodSync/_gsdata_/_file_state_v4._gs
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCacheSecondaryRepublicationCacheFile.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCacheStatus.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/CimCmdlets/CimCmdlets_fb6cc51d-c096-4b38-b78d-0fed6277096a_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/CimCmdlets/en-US/Microsoft.Management.Infrastructure.CimCmdlets.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DeliveryOptimization/DeliveryOptimization_b9af2675-4726-42fd-adab-38228176a516_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DeliveryOptimization/en-US/DeliveryOptimizationSettings.psm1-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DeliveryOptimization/en-US/DeliveryOptimizationStatus.psm1-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DeliveryOptimization/en-US/DeliveryOptimizationVerboseLogs.psm1-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DeliveryOptimization/en-US/Microsoft.Windows.DeliveryOptimization.AdminCommands.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DirectAccessClientComponents/DirectAccessClientComponents_244f8fc0-a410-4b87-8237-7496f557e6d4_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DirectAccessClientComponents/en-US/MSFT_DAClientExperienceConfiguration.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DirectAccessClientComponents/en-US/MSFT_DASiteTableEntry.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Dism/Dism_389c464d-8b8d-48e9-aafe-6d8a590d6798_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Dism/en-US/Microsoft.Dism.PowerShell.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/DnsClient_5696d5ef-fa2d-4997-94f1-0bc13daa2ac5_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/dnslookup.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/MSFT_DnsClient.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/MSFT_DnsClientCache.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/MSFT_DnsClientDohServerAddress.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/MSFT_DnsClientGlobalSetting.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/MSFT_DnsClientServerAddress.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/PS_DnsClientNRPTGlobal_v1.0.0.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/PS_DnsClientNrptPolicy_v1.0.0.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/DnsClient/en-US/PS_DnsClientNRPTRule_v1.0.0.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Alias_Provider.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Aliases.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_ANSI_Terminals.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Arithmetic_Operators.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Arrays.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Assignment_Operators.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Automatic_Variables.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Booleans.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Break.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Built-in_Functions.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Calculated_Properties.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Calling_Generic_Methods.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Case-Sensitivity.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Certificate_Provider.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Character_Encoding.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_CimSession.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Classes.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Classes_Constructors.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Classes_Inheritance.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Classes_Methods.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Classes_Properties.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Command_Precedence.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Command_Syntax.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Comment_Based_Help.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Comments.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_CommonParameters.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Comparison_Operators.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Continue.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Core_Commands.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Data_Files.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Data_Sections.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Debuggers.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Do.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Enum.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Environment_Provider.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Environment_Variables.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Error_Handling.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Execution_Policies.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Experimental_Features.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_FileSystem_Provider.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_For.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Foreach.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Format.ps1xml.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Function_Provider.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Functions.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Functions_Advanced.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Functions_Advanced_Methods.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Functions_Advanced_Parameters.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Functions_Argument_Completion.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Functions_CmdletBindingAttribute.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Functions_OutputTypeAttribute.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Group_Policy_Settings.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Hash_Tables.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Hidden.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_History.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_If.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Intrinsic_Members.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Job_Details.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Jobs.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Join.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Language_Keywords.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Language_Modes.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Line_Editing.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Locations.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Logging_Non-Windows.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Logging_Windows.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Logical_Operators.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Member-Access_Enumeration.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Methods.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Module_Manifests.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Modules.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Numeric_Literals.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Object_Creation.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Objects.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Operator_Precedence.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Operators.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Output_Streams.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PackageManagement.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Parameter_Binding.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Parameter_Sets.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Parameters.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Parameters_Default_Values.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Parsing.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Path_Syntax.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Pipeline_Chain_Operators.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Pipelines.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PowerShell_Config.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PowerShell_Editions.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Preference_Variables.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Profiles.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Prompts.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Properties.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Providers.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PSConsoleHostReadLine.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PSCustomObject.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PSItem.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PSModulePath.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PSSession_Details.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_PSSessions.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Pwsh.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Quoting_Rules.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Redirection.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Ref.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Registry_Provider.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Regular_Expressions.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Remote.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Remote_Disconnected_Sessions.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Remote_Jobs.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Remote_Output.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Remote_Requirements.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Remote_Troubleshooting.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Remote_Variables.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Requires.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Reserved_Words.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Return.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Run_With_PowerShell.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Scopes.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Script_Blocks.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Script_Internationalization.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Scripts.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Session_Configuration_Files.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Session_Configurations.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Signing.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Simplified_Syntax.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Special_Characters.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Splatting.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Split.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Switch.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Tab_Expansion.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Telemetry.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Thread_Jobs.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Throw.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Trap.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Try_Catch_Finally.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Type_Accelerators.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Type_Conversion.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Type_Operators.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Types.ps1xml.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Updatable_Help.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Update_Notifications.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Using.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Variable_Provider.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Variables.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_While.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Wildcards.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_Windows_PowerShell_Compatibility.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_WMI.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_WQL.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_WS-Management_Cmdlets.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/about_WSMan_Provider.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/Microsoft.PowerShell.Commands.Diagnostics.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/Microsoft.PowerShell.Commands.Management.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/Microsoft.PowerShell.Commands.Utility.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/Microsoft.PowerShell.ConsoleHost.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/Microsoft.PowerShell.Security.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/Microsoft.WSMan.Management.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/en-US/System.Management.Automation.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/EventTracingManagement/en-US/EventTracingManagement-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/EventTracingManagement/en-US/MSFT_AutologgerConfig_v1.0.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/EventTracingManagement/en-US/MSFT_EtwTraceProvider_v1.0.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/EventTracingManagement/en-US/MSFT_EtwTraceSession_v1.0.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/EventTracingManagement/EventTracingManagement_80cb11cf-96b5-4d48-84bd-f85f65de78ae_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/International/en-US/Microsoft.InternationalSettings.Commands.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/International/International_561544e6-3a83-4d24-b140-78ad771eaf10_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Kds/en-US/Microsoft.KeyDistributionService.Cmdlets.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Kds/Kds_176542f6-2a6b-11e0-ab18-d010e0d72085_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/LanguagePackManagement/en-US/Microsoft.LanguagePackManagement.Powershell.Commands.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/LanguagePackManagement/LanguagePackManagement_f42dbdd4-4358-4067-8155-a4567a0aaee5_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/LAPS/en-US/LAPS-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/LAPS/en-US/lapspsh.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/LAPS/LAPS_8eb7ddf9-7890-49ae-9af1-3b41d7e63c41_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Archive/en-US/Microsoft.PowerShell.Archive-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Archive/Microsoft.PowerShell.Archive_eb74e8da-9ae2-482a-a648-e96550fb8733_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Core_00000000-0000-0000-0000-000000000000_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Diagnostics_ca046f10-ca64-4740-8ff9-2565dba61a4f_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Host_56d66100-99a0-4ffc-a12d-eee9a6718aef_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.LocalAccounts/1.0.0.0/en-US/Microsoft.Powershell.LocalAccounts.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.LocalAccounts/1.0.0.0/Microsoft.PowerShell.LocalAccounts_8e362604-2c0b-448f-a414-a6a690a644e2_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Management_eefcb906-b326-4e99-9f54-8b4bb6ef3c6d_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Operation.Validation/1.0.1/en-US/Microsoft.PowerShell.Operation.Validation-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Operation.Validation/1.0.1/Microsoft.PowerShell.Operation.Validation_25bd9e34-bff9-4552-a23d-854857b42462_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.PSResourceGet/en-US/about_PSResourceGet.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.PSResourceGet/en-US/about_PSResourceGet_Group_Policy.help.txt: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.PSResourceGet/en-US/Microsoft.PowerShell.PSResourceGet.dll-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.PSResourceGet/Microsoft.PowerShell.PSResourceGet_e4e0bda1-0703-44a5-b70d-8fe704cd0643_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Microsoft.PowerShell.Security_a94c8c7e-9810-47c0-b8af-65089c13a35a_HelpInfo.xml: Warning: Older file to replace Newer file
